Player Name,Agent Name,R,ACS,K,D,K/D +/–,+/–,ADR,HS%,FK,FK/FD +/–,+/–,Team Name,Map Name,Map #,Unique Enum,Stage,Series,winner,rounds,Id
Sayaplayer,Raze,"0.54
0.58
0.48","126
122
133","8
5
3","

14
8
6

","4
3
1","-6
-3
-3","92
85
106","35%
22%
63%","2
1
1","4
3
1","-2
-2
0",T1,Lotus,2,2967352,Group Stage,Opening (A),T1,"1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1",1
crazyguy,Breach,"1.20
1.29
1.15","260
307
233","16
7
9","

16
6
10

","8
4
4","0
+1
-1","153
198
127","38%
53%
28%","3
0
3","1
0
1","+2
0
+2",BLEED,Lotus,2,2967352,Group Stage,Opening (A),T1,"0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0",1
Egoist,Killjoy,"1.03
1.22
0.92","200
266
162","13
7
6","

14
6
8

","2
0
2","-1
+1
-2","141
191
112","22%
33%
13%","3
0
3","2
2
0","+1
-2
+3",BLEED,Lotus,2,2967352,Group Stage,Opening (A),T1,"0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0",1
sScary,Omen,"0.92
0.65
1.08","196
159
219","13
4
9","

14
6
8

","5
3
2","-1
-2
+1","124
90
144","15%
36%
10%","0
0
0","2
0
2","-2
0
-2",BLEED,Lotus,2,2967352,Group Stage,Opening (A),T1,"0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0",1
yay,Skye,"0.81
0.97
0.71","183
214
165","11
5
6","

16
6
10

","6
3
3","-5
-1
-4","136
157
123","35%
33%
36%","0
0
0","1
1
0","-1
-1
0",BLEED,Lotus,2,2967352,Group Stage,Opening (A),T1,"0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0",1
Deryeon,Raze,"0.51
0.23
0.68","120
125
118","6
3
3","

15
7
8

","3
1
2","-9
-4
-5","90
80
95","12%
8%
15%","2
1
1","5
3
2","-3
-2
-1",BLEED,Lotus,2,2967352,Group Stage,Opening (A),T1,"0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0",1
t3xture,Jett,"1.54
1.32
1.75","377
339
416","33
15
18","

16
8
8

","1
1
0","+17
+7
+10","245
233
256","31%
37%
22%","7
3
4","2
1
1","+5
+2
+3",Gen.G,Icebox,1,2967451,Group Stage,Opening (C),Gen.G,"0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1",2
Meteor,Killjoy,"1.17
0.99
1.34","238
254
222","21
11
10","

14
8
6

","1
1
0","+7
+3
+4","150
156
145","32%
30%
35%","3
3
0","2
2
0","+1
+1
0",Gen.G,Icebox,1,2967451,Group Stage,Opening (C),Gen.G,"0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1",2
Munchkin,Kayo,"1.02
0.97
1.08","185
148
223","15
6
9","

17
8
9

","16
8
8","-2
-2
0","113
91
135","17%
21%
14%","0
0
0","0
0
0","0
0
0",Gen.G,Icebox,1,2967451,Group Stage,Opening (C),Gen.G,"0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1",2
Karon,Viper,"0.87
0.99
0.74","136
166
108","11
7
4","

17
8
9

","6
1
5","-6
-1
-5","100
117
83","46%
50%
42%","4
2
2","3
0
3","+1
+2
-1",Gen.G,Icebox,1,2967451,Group Stage,Opening (C),Gen.G,"0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1",2
