,Player Name,Agent Name,R,ACS,K,D,K/D +/–,+/–,ADR,HS%,FK,FK/FD +/–,+/–,Team Name,Map Name,Map #,Stage,Series
26,beyAz,Skye,"1.18
1.11
1.24","233
221
245","20
10
10","

12
7
5

","3
0
3","+8
+3
+5","141
142
141","22%
36%
14%","3
1
2","0
0
0","+3
+1
+2",Gentle Mates,Pearl,3,Playoffs,Grand Final
27,Wailers,Astra,"1.06
1.29
0.85","161
163
159","13
7
6","

14
5
9

","13
5
8","-1
+2
-3","113
113
113","23%
25%
22%","1
0
1","2
1
1","-1
-1
0",Gentle Mates,Pearl,3,Playoffs,Grand Final
28,nataNk,Phoenix,"0.83
0.65
0.99","230
188
269","17
6
11","

20
10
10

","8
5
3","-3
-4
+1","158
141
174","21%
14%
30%","3
1
2","7
5
2","-4
-4
0",Gentle Mates,Pearl,3,Playoffs,Grand Final
29,TakaS,Jett,"0.81
0.83
0.80","136
179
98","11
7
4","

13
7
6

","5
4
1","-2
0
-2","91
129
57","17%
23%
0%","3
2
1","4
1
3","-1
+1
-2",Gentle Mates,Pearl,3,Playoffs,Grand Final
30,ALIVE,Jett,"0.98
0.91
1.13","244
213
320","14
9
5","

14
10
4

","2
0
2","0
-1
+1","143
113
216","45%
33%
57%","4
3
1","3
2
1","+1
+1
0",Acend,Fracture,1,Playoffs,Lower Final
31,MONSTEERR,Killjoy,"0.88
0.76
1.16","203
178
262","13
7
6","

15
11
4

","1
1
0","-2
-4
+2","146
137
170","24%
19%
33%","0
0
0","1
1
0","-1
-1
0",Acend,Fracture,1,Playoffs,Lower Final
32,musashi,Fade,"0.60
0.44
0.97","141
146
131","6
4
2","

16
12
4

","7
4
3","-10
-8
-2","108
99
132","23%
29%
14%","0
0
0","2
2
0","-2
-2
0",Acend,Fracture,1,Playoffs,Lower Final
33,baddyG,Astra,"0.44
0.43
0.46","93
83
119","5
3
2","

15
10
5

","1
0
1","-10
-7
-3","61
48
92","8%
0%
29%","1
0
1","2
2
0","-1
-2
+1",Acend,Fracture,1,Playoffs,Lower Final
34,Br0die,Breach,"0.36
0.23
0.67","87
77
113","5
3
2","

15
11
4

","4
2
2","-10
-8
-2","52
46
67","24%
36%
10%","1
1
0","3
1
2","-2
0
-2",Acend,Fracture,1,Playoffs,Lower Final
35,nataNk,Breach,"1.60
0.88
1.91","331
203
385","20
4
16","

9
4
5

","8
2
6","+11
0
+11","211
128
245","22%
6%
27%","1
0
1","0
0
0","+1
0
+1",Gentle Mates,Fracture,1,Playoffs,Lower Final
36,TakaS,Jett,"1.36
1.21
1.43","322
279
341","21
6
15","

11
3
8

","2
0
2","+10
+3
+7","199
179
207","14%
56%
3%","6
1
5","2
0
2","+4
+1
+3",Gentle Mates,Fracture,1,Playoffs,Lower Final
37,logaN,Killjoy,"1.32
1.64
1.18","188
406
97","13
7
6","

6
4
2

","3
3
0","+7
+3
+4","118
239
68","33%
35%
31%","1
1
0","0
0
0","+1
+1
0",Gentle Mates,Fracture,1,Playoffs,Lower Final
38,beyAz,Kayo,"1.30
1.42
1.25","188
183
190","12
4
8","

7
2
5

","5
1
4","+5
+2
+3","100
91
104","14%
25%
11%","3
1
2","2
1
1","+1
0
+1",Gentle Mates,Fracture,1,Playoffs,Lower Final
39,Wailers,Brimstone,"0.99
0.47
1.20","131
54
164","9
0
9","

10
4
6

","7
4
3","-1
-4
+3","93
44
114","31%
20%
33%","0
0
0","2
1
1","-2
-1
-1",Gentle Mates,Fracture,1,Playoffs,Lower Final
40,ALIVE,Jett,"1.06
1.14
0.99","202
184
221","25
11
14","

24
10
14

","6
4
2","+1
+1
0","138
131
145","25%
27%
23%","5
2
3","5
2
3","0
0
0",Acend,Split,2,Playoffs,Lower Final
41,baddyG,Viper,"1.06
1.33
0.80","226
246
207","29
16
13","

24
10
14

","5
3
2","+5
+6
-1","161
176
145","31%
30%
31%","2
2
0","2
1
1","0
+1
-1",Acend,Split,2,Playoffs,Lower Final
42,musashi,Reyna,"0.92
0.84
1.00","164
119
210","20
7
13","

24
11
13

","6
3
3","-4
-4
0","108
77
138","29%
23%
32%","2
0
2","6
3
3","-4
-3
-1",Acend,Split,2,Playoffs,Lower Final
43,MONSTEERR,Killjoy,"0.80
0.88
0.73","183
163
204","21
10
11","

28
12
16

","3
1
2","-7
-2
-5","132
118
146","21%
25%
18%","3
2
1","4
1
3","-1
+1
-2",Acend,Split,2,Playoffs,Lower Final
44,Br0die,Astra,"0.57
0.72
0.41","122
111
134","15
8
7","

28
12
16

","3
1
2","-13
-4
-9","81
73
90","27%
25%
28%","2
1
1","5
4
1","-3
-3
0",Acend,Split,2,Playoffs,Lower Final
45,nataNk,Raze,"1.47
1.84
1.09","329
415
244","40
26
14","

25
13
12

","5
3
2","+15
+13
+2","211
257
165","26%
24%
31%","10
6
4","4
0
4","+6
+6
0",Gentle Mates,Split,2,Playoffs,Lower Final
46,Wailers,Astra,"1.14
0.91
1.37","155
117
193","22
8
14","

18
11
7

","9
6
3","+4
-3
+7","106
87
125","32%
24%
39%","0
0
0","0
0
0","0
0
0",Gentle Mates,Split,2,Playoffs,Lower Final
47,logaN,Viper,"1.04
1.31
0.76","216
242
191","24
15
9","

23
11
12

","12
6
6","+1
+4
-3","150
162
137","29%
33%
24%","3
1
2","2
1
1","+1
0
+1",Gentle Mates,Split,2,Playoffs,Lower Final
48,beyAz,Skye,"1.01
1.40
0.63","123
174
74","15
11
4","

19
10
9

","22
18
4","-4
+1
-5","86
118
55","23%
30%
10%","2
1
1","1
0
1","+1
+1
0",Gentle Mates,Split,2,Playoffs,Lower Final
49,TakaS,Jett,"0.99
0.71
1.27","204
195
215","27
13
14","

25
15
10

","4
2
2","+2
-2
+4","139
133
146","21%
21%
23%","7
3
4","7
6
1","0
-3
+3",Gentle Mates,Split,2,Playoffs,Lower Final
50,ALIVE,Raze,"1.15
1.26
1.02","239
257
217","15
8
7","

17
8
9

","8
5
3","-2
0
-2","185
190
178","25%
21%
33%","4
3
1","1
1
0","+3
+2
+1",Acend,Lotus,3,Playoffs,Lower Final
51,baddyG,Omen,"1.08
1.27
0.84","184
183
187","14
8
6","

15
7
8

","9
8
1","-1
+1
-2","134
125
146","18%
20%
17%","3
1
2","4
2
2","-1
-1
0",Acend,Lotus,3,Playoffs,Lower Final
52,Br0die,Fade,"0.82
0.82
0.81","132
127
139","10
5
5","

15
8
7

","8
6
2","-5
-3
-2","82
80
84","20%
33%
11%","0
0
0","3
2
1","-3
-2
-1",Acend,Lotus,3,Playoffs,Lower Final
