Player Name,Map Name,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,Team Name,Map #,Id,Unique Enum,Stage,Series
crashies,Breeze,"[11, 18, 21]",,,,,,,,,71,2,0,NRG,1,295605,2956051,Group Stage,Opening (A)
Victor,Breeze,"[13, 18, 23]","[6, 21]",,,[21],,,,,61,1,0,NRG,1,295605,2956051,Group Stage,Opening (A)
Marved,Breeze,"[5, 7, 8, 17, 23]",,,,,[23],,,,55,1,1,NRG,1,295605,2956051,Group Stage,Opening (A)
Ethan,Breeze,"[9, 10]",[5],,,[9],,,,,57,4,1,NRG,1,295605,2956051,Group Stage,Opening (A)
Demon1,Breeze,"[6, 8, 10, 16, 17]",[3],,,,,,,,68,0,0,NRG,1,295605,2956051,Group Stage,Opening (A)
mwzera,Breeze,"[1, 2, 10, 18, 20]","[4, 12]",,,,[18],,,,75,2,2,FUR,1,295605,2956051,Group Stage,Opening (A)
kon4n,Breeze,"[14, 16, 21]",[1],,,,,,,,40,1,0,FUR,1,295605,2956051,Group Stage,Opening (A)
Khalil,Breeze,"[2, 9, 12, 15, 19, 23]",,,,,,,,,51,1,0,FUR,1,295605,2956051,Group Stage,Opening (A)
liazzi,Breeze,"[4, 7, 18, 19, 20, 21]",[13],,,,[13],,,,55,1,1,FUR,1,295605,2956051,Group Stage,Opening (A)
havoc,Breeze,[14],,,,,,,,,13,1,0,FUR,1,295605,2956051,Group Stage,Opening (A)
crashies,Ascent,"[4, 8, 15, 21]",,,,,,,,,43,2,0,NRG,2,295605,2956052,Group Stage,Opening (A)
Victor,Ascent,"[7, 13]",[16],[2],,,,,,,53,2,0,NRG,2,295605,2956052,Group Stage,Opening (A)
Marved,Ascent,[20],,,,,,,,,29,0,0,NRG,2,295605,2956052,Group Stage,Opening (A)
Ethan,Ascent,"[1, 20, 21]","[15, 17]",,,,,,,,77,4,1,NRG,2,295605,2956052,Group Stage,Opening (A)
Demon1,Ascent,"[12, 16, 18, 19]",[10],,,[19],,,,,62,0,1,NRG,2,295605,2956052,Group Stage,Opening (A)
mwzera,Ascent,"[8, 17]",[9],,,,,,,,42,0,1,FUR,2,295605,2956052,Group Stage,Opening (A)
kon4n,Ascent,"[6, 12, 13]",,,,,,,,,59,2,0,FUR,2,295605,2956052,Group Stage,Opening (A)
Khalil,Ascent,"[4, 8]",[19],,,[4],,,,,45,2,0,FUR,2,295605,2956052,Group Stage,Opening (A)
liazzi,Ascent,[15],,,,,,,,,34,0,1,FUR,2,295605,2956052,Group Stage,Opening (A)
havoc,Ascent,"[4, 5, 9]",[3],,,,,,,,41,0,0,FUR,2,295605,2956052,Group Stage,Opening (A)
wippie,Bind,"[2, 3, 8, 10, 12, 21]",[13],,,,,[13],,,72,0,0,C9,1,295606,2956061,Group Stage,Opening (A)
vanity,Bind,,,,,,,,,,34,6,0,C9,1,295606,2956061,Group Stage,Opening (A)
Xeppaa,Bind,"[5, 8, 9]",,[1],,,,,,,47,1,0,C9,1,295606,2956061,Group Stage,Opening (A)
jakee,Bind,"[11, 14, 22]","[4, 17, 24]",,,,,,,,66,1,1,C9,1,295606,2956061,Group Stage,Opening (A)
OXY,Bind,"[3, 5, 12, 18, 20]",[23],,,,,,,,56,1,0,C9,1,295606,2956061,Group Stage,Opening (A)
frz,Bind,"[2, 10, 14, 22]",,,,,[8],,,,43,0,0,MIBR,1,295606,2956061,Group Stage,Opening (A)
RgLMeister,Bind,"[9, 11, 13, 16]",[18],,,[2],[18],,,,61,1,1,MIBR,1,295606,2956061,Group Stage,Opening (A)
artzin,Bind,[8],"[3, 7]",,,,"[3, 17]",,,,50,2,1,MIBR,1,295606,2956061,Group Stage,Opening (A)
mazin,Bind,[10],[15],,,,,,,,38,4,0,MIBR,1,295606,2956061,Group Stage,Opening (A)
jzz,Bind,[24],[16],,,,,,,,42,1,0,MIBR,1,295606,2956061,Group Stage,Opening (A)
wippie,Split,"[1, 8]",,,,,,,,,55,0,2,C9,2,295606,2956062,Group Stage,Opening (A)
vanity,Split,"[4, 11]",[10],[20],,[10],[20],,,,45,1,1,C9,2,295606,2956062,Group Stage,Opening (A)
Xeppaa,Split,"[6, 7, 12]",[14],,,,,,,,57,2,0,C9,2,295606,2956062,Group Stage,Opening (A)
jakee,Split,,[21],,,,,,,,46,2,0,C9,2,295606,2956062,Group Stage,Opening (A)
OXY,Split,"[6, 7, 10, 11, 16]",,,[9],,,,,,59,0,0,C9,2,295606,2956062,Group Stage,Opening (A)
frz,Split,[12],,[15],,,,,,,39,2,0,MIBR,2,295606,2956062,Group Stage,Opening (A)
RgLMeister,Split,"[1, 4, 11, 13, 14]",,,,,,,,,41,1,0,MIBR,2,295606,2956062,Group Stage,Opening (A)
artzin,Split,"[19, 20]",,,,,,,,,48,2,0,MIBR,2,295606,2956062,Group Stage,Opening (A)
mazin,Split,"[1, 5, 7, 21]",,,,[21],,,,,45,4,2,MIBR,2,295606,2956062,Group Stage,Opening (A)
jzz,Split,"[4, 12, 13, 20]",[2],,,,,,,,59,0,1,MIBR,2,295606,2956062,Group Stage,Opening (A)
wippie,Lotus,,,,,,,,,,58,1,0,C9,3,295606,2956063,Group Stage,Opening (A)
vanity,Lotus,"[1, 4, 12, 23]","[16, 19]",,,[17],[16],,,,72,8,1,C9,3,295606,2956063,Group Stage,Opening (A)
Xeppaa,Lotus,"[6, 17, 22]",[14],,,[6],,,,,47,0,1,C9,3,295606,2956063,Group Stage,Opening (A)
jakee,Lotus,[23],,,,,,,,,33,1,1,C9,3,295606,2956063,Group Stage,Opening (A)
OXY,Lotus,"[21, 22]",[7],[13],[18],,,,,,66,0,1,C9,3,295606,2956063,Group Stage,Opening (A)
frz,Lotus,"[2, 6, 11, 19]",,,,,,,,,44,0,1,MIBR,3,295606,2956063,Group Stage,Opening (A)
RgLMeister,Lotus,"[7, 12, 23]",[17],,,,,,,,58,2,3,MIBR,3,295606,2956063,Group Stage,Opening (A)
artzin,Lotus,"[4, 15, 16]","[5, 8]",,,,,,,,56,1,0,MIBR,3,295606,2956063,Group Stage,Opening (A)
mazin,Lotus,"[2, 3, 7, 16, 21]",,,,[19],,,,,54,1,1,MIBR,3,295606,2956063,Group Stage,Opening (A)
jzz,Lotus,"[5, 20]","[1, 3]",,,,,,,,53,2,0,MIBR,3,295606,2956063,Group Stage,Opening (A)
saadhak,Split,"[2, 15, 16, 21, 22]",[23],[24],,,,,,,48,2,0,LOUD,1,295610,2956101,Group Stage,Opening (B)
Quick,Split,"[3, 6, 14, 16, 18, 22]",[17],,,,,,,,65,0,1,LOUD,1,295610,2956101,Group Stage,Opening (B)
tuyz,Split,"[8, 20, 21]",,,,[13],,,,,43,1,1,LOUD,1,295610,2956101,Group Stage,Opening (B)
cauanzin,Split,"[1, 2, 14, 23]",,,[10],,,,,,55,5,1,LOUD,1,295610,2956101,Group Stage,Opening (B)
Less,Split,"[1, 3, 6, 15]",[4],,,,,,,,37,0,1,LOUD,1,295610,2956101,Group Stage,Opening (B)
TenZ,Split,"[8, 20]",[18],[5],,,,,,,62,0,0,SEN,1,295610,2956101,Group Stage,Opening (B)
Sacy,Split,[7],[23],,,,,,,,24,3,0,SEN,1,295610,2956101,Group Stage,Opening (B)
Zellsis,Split,"[7, 9]",[12],,,[1],,,,,45,4,2,SEN,1,295610,2956101,Group Stage,Opening (B)
johnqt,Split,"[4, 12, 13, 24]",,,,[4],,,,,46,0,0,SEN,1,295610,2956101,Group Stage,Opening (B)
zekken,Split,"[4, 8, 10, 11, 19]",[1],,,,,,,,68,0,2,SEN,1,295610,2956101,Group Stage,Opening (B)
saadhak,Ascent,[22],,,[17],,,,,,48,3,1,LOUD,2,295610,2956102,Group Stage,Opening (B)
Quick,Ascent,[19],[5],[14],,,,,,,51,1,0,LOUD,2,295610,2956102,Group Stage,Opening (B)
tuyz,Ascent,[20],,,,,,,,,21,0,2,LOUD,2,295610,2956102,Group Stage,Opening (B)
cauanzin,Ascent,"[3, 13, 18, 21]",[9],,,,,,,,52,3,2,LOUD,2,295610,2956102,Group Stage,Opening (B)
Less,Ascent,"[13, 15, 19, 20]",,,,,,,[1],,66,1,0,LOUD,2,295610,2956102,Group Stage,Opening (B)
TenZ,Ascent,,,,,,,,,,34,0,0,SEN,2,295610,2956102,Group Stage,Opening (B)
Sacy,Ascent,"[3, 9, 11]","[1, 5, 7]",,,,,,,,88,2,1,SEN,2,295610,2956102,Group Stage,Opening (B)
Zellsis,Ascent,,,,,,,,,,34,2,2,SEN,2,295610,2956102,Group Stage,Opening (B)
johnqt,Ascent,"[4, 11, 13]",[15],,,,,,,,56,1,0,SEN,2,295610,2956102,Group Stage,Opening (B)
zekken,Ascent,,"[10, 12]",,,,,,,,49,2,0,SEN,2,295610,2956102,Group Stage,Opening (B)
C0M,Bind,"[1, 7, 20]",,[15],,,,,,,45,0,0,LEV,1,295611,2956111,Group Stage,Opening (B)
tex,Bind,"[1, 5]",,,,,,,,,46,7,0,LEV,1,295611,2956111,Group Stage,Opening (B)
Mazino,Bind,"[2, 12, 17]","[8, 22]",,,,,,,,72,1,0,LEV,1,295611,2956111,Group Stage,Opening (B)
aspas,Bind,"[2, 4, 8, 12, 17, 18]",[16],[6],[13],[8],,,,,83,0,1,LEV,1,295611,2956111,Group Stage,Opening (B)
kiNgg,Bind,[11],,[21],,,,,,,33,0,0,LEV,1,295611,2956111,Group Stage,Opening (B)
Asuna,Bind,[3],[13],,,,,,,,34,0,0,100T,1,295611,2956111,Group Stage,Opening (B)
Boostio,Bind,"[9, 19, 20]",[10],[14],,,,,,,67,3,0,100T,1,295611,2956111,Group Stage,Opening (B)
eeiu,Bind,"[5, 8]",,,,,,,,,45,1,0,100T,1,295611,2956111,Group Stage,Opening (B)
bang,Bind,[11],,,,[11],,,,,32,0,0,100T,1,295611,2956111,Group Stage,Opening (B)
Cryocells,Bind,[18],,,,[13],,,,,53,1,1,100T,1,295611,2956111,Group Stage,Opening (B)
C0M,Split,[6],,,,[6],,,,,46,0,0,LEV,2,295611,2956112,Group Stage,Opening (B)
tex,Split,,,,,,,,,,35,0,0,LEV,2,295611,2956112,Group Stage,Opening (B)
Mazino,Split,"[2, 3]",,,,,[3],,,,47,3,0,LEV,2,295611,2956112,Group Stage,Opening (B)
aspas,Split,"[3, 9]",[4],,,,,,,,58,1,0,LEV,2,295611,2956112,Group Stage,Opening (B)
kiNgg,Split,[6],"[7, 9]",,,,,,,,51,1,0,LEV,2,295611,2956112,Group Stage,Opening (B)
Asuna,Split,"[1, 2, 3, 10]",[5],,,,,,,,67,0,1,100T,2,295611,2956112,Group Stage,Opening (B)
Boostio,Split,"[14, 15]",,,,,,,,,68,3,1,100T,2,295611,2956112,Group Stage,Opening (B)
eeiu,Split,"[1, 4, 6, 8, 10, 11, 16]",,,,,,,,,61,0,1,100T,2,295611,2956112,Group Stage,Opening (B)
bang,Split,"[2, 9, 13]",,,,[7],,,,,61,0,0,100T,2,295611,2956112,Group Stage,Opening (B)
Cryocells,Split,"[6, 7, 15]",[14],,,,,,,,75,1,0,100T,2,295611,2956112,Group Stage,Opening (B)
C0M,Icebox,"[8, 18, 20]","[1, 5, 21]",,,,[5],,,,80,2,4,LEV,3,295611,2956113,Group Stage,Opening (B)
tex,Icebox,"[1, 15, 17, 22]",,,,,,,,,46,0,0,LEV,3,295611,2956113,Group Stage,Opening (B)
Mazino,Icebox,"[2, 4, 17, 20, 22]",,,,,,,,,44,6,1,LEV,3,295611,2956113,Group Stage,Opening (B)
aspas,Icebox,"[6, 9, 12, 24]",[16],"[3, 19]",,,,,,,79,0,0,LEV,3,295611,2956113,Group Stage,Opening (B)
kiNgg,Icebox,"[4, 11, 24]",,,,[2],,,,,40,1,0,LEV,3,295611,2956113,Group Stage,Opening (B)
Asuna,Icebox,"[10, 15, 20]",,,,[20],,,,,24,9,1,100T,3,295611,2956113,Group Stage,Opening (B)
Boostio,Icebox,"[12, 13, 14, 24]","[6, 8, 23]",,,,,,,,63,0,0,100T,3,295611,2956113,Group Stage,Opening (B)
eeiu,Icebox,"[5, 9, 14]",,,,,,,,,33,0,0,100T,3,295611,2956113,Group Stage,Opening (B)
bang,Icebox,"[10, 11, 13]",,[2],,[12],,,,,46,1,1,100T,3,295611,2956113,Group Stage,Opening (B)
