Player Name,Agent Name,R,ACS,K,D,K/D +/–,+/–,ADR,HS%,FK,FK/FD +/–,+/–,Team Name,Map Name,Map #,Stage,Series,winner,rounds,Id
Khalil,Killjoy,"1.03
0.90
1.13","166
194
145","14
6
8","

14
8
6

","0
0
0","0
-2
+2","119
151
95","25%
24%
26%","0
0
0","1
0
1","-1
0
-1",FURIA,Ascent,2,Group Stage,Opening (A),NRG Esports,"0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0",1
mwzera,Jett,"0.99
0.69
1.22","171
148
189","13
5
8","

14
8
6

","3
0
3","-1
-3
+2","101
93
107","18%
19%
17%","5
1
4","4
3
1","+1
-2
+3",FURIA,Ascent,2,Group Stage,Opening (A),NRG Esports,"0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0",1
liazzi,Omen,"0.78
1.01
0.60","130
202
77","8
5
3","

14
7
7

","12
7
5","-6
-2
-4","81
121
51","43%
54%
30%","1
1
0","2
1
1","-1
0
-1",FURIA,Ascent,2,Group Stage,Opening (A),NRG Esports,"0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0",1
havoc,Kayo,"0.70
0.28
1.02","185
83
262","12
2
10","

17
8
9

","9
1
8","-5
-6
+1","121
65
164","27%
25%
28%","2
1
1","5
2
3","-3
-1
-2",FURIA,Ascent,2,Group Stage,Opening (A),NRG Esports,"0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0",1
wippie,Viper,"1.48
1.54
1.41","253
250
257","23
12
11","

11
5
6

","4
1
3","+12
+7
+5","151
163
139","25%
20%
33%","2
0
2","1
1
0","+1
-1
+2",Cloud9,Bind,1,Group Stage,Opening (A),Cloud9,"1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1",2
jakee,Brimstone,"1.34
1.64
1.03","236
297
176","20
13
7","

14
7
7

","11
8
3","+6
+6
0","150
186
114","27%
24%
33%","1
0
1","1
1
0","0
-1
+1",Cloud9,Bind,1,Group Stage,Opening (A),Cloud9,"1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1",2
OXY,Yoru,"1.19
1.27
1.11","261
285
238","21
12
9","

18
10
8

","5
2
3","+3
+2
+1","173
180
165","40%
41%
39%","6
3
3","2
2
0","+4
+1
+3",Cloud9,Bind,1,Group Stage,Opening (A),Cloud9,"1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1",2
Xeppaa,Raze,"1.03
0.81
1.24","223
170
277","20
7
13","

17
9
8

","4
3
1","+3
-2
+5","134
111
156","25%
25%
24%","6
3
3","3
1
2","+3
+2
+1",Cloud9,Bind,1,Group Stage,Opening (A),Cloud9,"1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1",2
vanity,Skye,"1.00
1.20
0.80","125
135
116","9
5
4","

13
6
7

","15
9
6","-4
-1
-3","84
91
77","23%
18%
28%","0
0
0","2
1
1","-2
-1
-1",Cloud9,Bind,1,Group Stage,Opening (A),Cloud9,"1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1",2
RgLMeister,Brimstone,"1.16
1.06
1.25","200
164
237","17
8
9","

14
6
8

","13
7
6","+3
+2
+1","135
116
155","23%
20%
26%","2
0
2","1
0
1","+1
0
+1",MIBR,Bind,1,Group Stage,Opening (A),Cloud9,"0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0",2
frz,Viper,"0.81
1.03
0.59","176
164
188","16
9
7","

18
9
9

","1
0
1","-2
0
-2","106
103
109","29%
33%
25%","1
1
0","0
0
0","+1
+1
0",MIBR,Bind,1,Group Stage,Opening (A),Cloud9,"0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0",2
artzin,Jett,"0.79
1.19
0.39","192
273
112","16
12
4","

19
8
11

","4
2
2","-3
+4
-7","131
177
84","23%
20%
29%","3
1
2","2
2
0","+1
-1
+2",MIBR,Bind,1,Group Stage,Opening (A),Cloud9,"0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0",2
mazin,Skye,"0.76
0.86
0.66","158
167
150","13
6
7","

20
10
10

","13
9
4","-7
-4
-3","104
109
98","36%
26%
60%","0
0
0","1
0
1","-1
0
-1",MIBR,Bind,1,Group Stage,Opening (A),Cloud9,"0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0",2
jzz,Raze,"0.52
0.22
0.82","162
98
227","11
3
8","

22
12
10

","6
4
2","-11
-9
-2","123
73
172","29%
42%
25%","3
1
2","11
7
4","-8
-6
-2",MIBR,Bind,1,Group Stage,Opening (A),Cloud9,"0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0",2
OXY,Raze,"1.03
0.45
1.47","265
120
375","20
4
16","

18
8
10

","2
1
1","+2
-4
+6","166
63
244","35%
71%
29%","5
2
3","6
4
2","-1
-2
+1",Cloud9,Split,2,Group Stage,Opening (A),Cloud9,"0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0",2
Xeppaa,Skye,"1.02
1.16
0.91","199
259
155","14
8
6","

15
7
8

","6
3
3","-1
+1
-2","128
156
107","39%
56%
25%","0
0
0","3
0
3","-3
0
-3",Cloud9,Split,2,Group Stage,Opening (A),Cloud9,"0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0",2
vanity,Viper,"0.96
0.83
1.06","200
184
212","15
6
9","

16
8
8

","2
0
2","-1
-2
+1","119
107
128","21%
25%
19%","0
0
0","5
2
3","-5
-2
-3",Cloud9,Split,2,Group Stage,Opening (A),Cloud9,"0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0",2
wippie,Killjoy,"0.85
0.35
1.22","163
134
186","10
3
7","

13
8
5

","6
2
4","-3
-5
+2","109
103
113","16%
16%
16%","1
0
1","1
1
0","0
-1
+1",Cloud9,Split,2,Group Stage,Opening (A),Cloud9,"0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0",2
